position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
19619850	2.758648	0.000000
19789146	2.767203	0.467028
19789574	2.766860	0.468212
19971095	2.764046	0.970456
20148498	2.762211	1.460806
20194876	1.059809	1.588912
20197081	0.796935	1.591248
20198171	0.798635	1.592117
20199443	0.800965	1.593133
20203125	0.783735	1.596082
20209610	0.644428	1.601165
20212635	1.798225	1.603114
20212642	2.958451	1.603127
20212709	4.720162	1.603325
20213006	4.721867	1.604727
20213037	4.670679	1.604873
20213055	4.597272	1.604957
20213181	1.994139	1.605536
20213937	0.592999	1.607044
20214907	0.599384	1.607619
20215378	0.639425	1.607902
20215448	0.707874	1.607946
20215989	3.673081	1.608329
20216298	3.719935	1.609464
20219125	5.638853	1.619981
20219418	5.646802	1.621633
20220961	5.645109	1.630346
20221499	5.645430	1.633383
20221500	1.410742	1.633388
20222854	1.412178	1.635299
20223463	1.413476	1.636159
20224003	1.427828	1.636922
20224967	1.788104	1.638298
20225332	1.893157	1.638951
20225892	1.967346	1.640011
20226448	1.967079	1.641105
20226495	1.959432	1.641197
20226662	1.949300	1.641525
20226692	1.938263	1.641583
20226891	1.938158	1.641969
20227304	1.937090	1.642769
20227820	1.935320	1.643769
20227924	1.933754	1.643970
20228302	1.935404	1.644701
20228864	1.957097	1.645789
20229206	2.391149	1.646458
20229929	2.455671	1.648187
20229960	2.513843	1.648263
20230766	2.930653	1.650289
20230821	3.172506	1.650450
20231211	3.325224	1.651688
20231614	3.327322	1.653028
20231914	3.447006	1.654026
20232038	3.551766	1.654453
20232146	3.551797	1.654837
20232981	3.554643	1.657803
20233527	3.613205	1.659743
20233840	3.778764	1.660874
20239246	3.291448	1.681302
20239479	2.672334	1.682069
20246129	2.672114	1.699840
20248828	2.670263	1.707052
20249879	2.671053	1.709859
20249968	2.672266	1.710097
20254570	3.563192	1.722394
20255790	3.561501	1.726741
20256614	3.687872	1.729676
20258891	3.709230	1.738073
20259003	3.709113	1.738489
20259223	3.715929	1.739305
20259936	3.668797	1.741954
20260241	3.668286	1.743073
20260443	3.668004	1.743814
20261105	3.667737	1.746242
20261361	3.669054	1.747181
20262019	3.671234	1.749596
20263385	3.696012	1.754611
20263425	3.715942	1.754758
20263825	3.722287	1.756245
20264019	3.730608	1.756967
20264912	3.728143	1.760298
20265201	3.818773	1.761376
20265369	3.851150	1.762017
20265636	3.859483	1.763046
20265855	3.857049	1.763891
20266386	3.860725	1.765939
20266414	3.871056	1.766047
20266487	3.870309	1.766330
20267014	6.393125	1.768369
20267945	6.420802	1.774321
20270664	5.898885	1.791779
20272479	2.053064	1.802486
20282652	0.701141	1.823372
20289283	0.822497	1.828021
20289803	1.723251	1.828449
20290377	1.723255	1.829438
20290683	1.719060	1.829965
20291217	1.397291	1.830883
20291286	1.155451	1.830980
20291539	0.994965	1.831272
20292331	1.443576	1.832060
20292344	1.864758	1.832079
20292485	1.830041	1.832342
