position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
20014981	0.079889	0.000000
20049831	0.093872	0.002784
20055634	0.093912	0.003329
20071673	0.093949	0.004835
20071765	0.094013	0.004844
20078165	0.094048	0.005445
20085107	0.093975	0.006098
20085638	0.093883	0.006148
20090856	0.093883	0.006638
20098977	0.093804	0.007401
20100442	0.093676	0.007538
20100465	0.093613	0.007540
20101308	0.093613	0.007619
20111449	0.093526	0.008568
20119706	0.093536	0.009341
20143651	0.094164	0.011580
20144802	0.099354	0.011689
20161372	0.348510	0.013335
20161541	0.492773	0.013394
20161864	0.679092	0.013553
20162196	0.684899	0.013779
20163398	0.703087	0.014602
20164610	0.574246	0.015454
20164888	0.346768	0.015614
20167089	0.171176	0.016377
20167621	0.159529	0.016468
20172595	0.159727	0.017261
20172708	0.159977	0.017279
20173696	0.159945	0.017437
20176300	0.204462	0.017854
20176836	0.234221	0.017964
20177092	0.262399	0.018024
20178288	0.256776	0.018337
20180945	0.253476	0.019020
20186408	0.254450	0.020404
20188058	0.257769	0.020824
20191741	2.667111	0.021774
20192011	3.097990	0.022494
20192086	3.451754	0.022726
20192951	3.809383	0.025712
20193922	3.024755	0.029411
20194958	2.338769	0.032544
20212798	2.940104	0.074268
20415877	3.084361	0.671341
20422587	3.312747	0.692037
20423743	3.351928	0.695867
20427207	3.400646	0.707478
20427971	3.403010	0.710076
20433733	3.465542	0.729684
20440478	7.965522	0.753059
20446012	8.020616	0.797140
20451350	8.050997	0.839955
20458228	7.756384	0.895329
20461049	7.775827	0.917210
20462603	7.778644	0.929294
20463834	7.783382	0.938869
20485289	7.792594	1.105862
20485779	7.794653	1.109680
20485879	7.797385	1.110459
20488741	7.793017	1.132776
20488870	7.790200	1.133781
20493425	7.743879	1.169265
20494289	7.723554	1.175956
20498286	7.717586	1.206827
20512227	7.719299	1.314418
20522640	7.717860	1.394799
20522940	7.720436	1.397114
20527832	7.721540	1.434883
20543988	8.218832	1.559632
20544238	8.876760	1.561687
20544880	10.080936	1.567385
20549630	10.159854	1.615270
20549809	10.241767	1.617089
20551056	10.365339	1.629860
20552191	10.329062	1.641625
20555720	8.822355	1.678076
20563896	8.331649	1.750207
20564575	5.957666	1.755865
20565646	5.960890	1.762245
20565861	5.181551	1.763527
20569728	5.138539	1.783564
20570622	5.150347	1.788158
20571213	5.167639	1.791202
20572942	4.942895	1.800137
20573044	3.581473	1.800641
20574983	3.516927	1.807585
20574992	3.425576	1.807617
20577494	3.425823	1.816188
20578432	3.440683	1.819401
20580644	3.455930	1.827012
20582240	3.489912	1.832528
20582856	3.630124	1.834677
20582900	3.759127	1.834837
20584035	3.838281	1.839104
20584498	3.963608	1.840881
20585155	4.117670	1.843485
20585204	4.337606	1.843687
20585398	4.450464	1.844528
20585462	4.477666	1.844813
20586155	4.494529	1.847916
20586291	4.495823	1.848527
20586865	4.494869	1.851108
20586927	4.497040	1.851387
20587247	4.490020	1.852826
20587314	4.489795	1.853126
20587599	4.473331	1.854406
20588228	4.459472	1.857220
20588230	4.457832	1.857229
20588705	4.430962	1.859346
20590136	4.388568	1.865687
20590499	4.360974	1.867280
20591670	4.178986	1.872387
20591753	3.770296	1.872733
20591767	3.676421	1.872786
20591861	3.128982	1.873132
20591879	1.162325	1.873188
20595570	1.163330	1.877478
20596239	1.163331	1.878257
20598096	1.164350	1.880417
20599459	1.166662	1.882004
20600256	1.167019	1.882934
20601749	1.220686	1.884676
20602007	1.248423	1.884991
20602026	1.276121	1.885015
20602194	1.251023	1.885229
20602774	1.222709	1.885955
20603546	0.767797	1.886899
20603557	0.738888	1.886907
20606969	0.738513	1.889428
20606981	0.737916	1.889437
20612914	1.068184	1.893815
20613052	1.391328	1.893962
20614059	1.401420	1.895364
20614283	1.404178	1.895677
20614515	1.401504	1.896003
