position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
11523	4.913878	0.000000
11543	6.288042	0.000098
11816	6.356876	0.001815
12092	6.598017	0.003569
12183	7.287963	0.004170
12716	8.141013	0.008054
12842	8.154481	0.009080
13034	3.211846	0.010646
51984	3.207321	0.135747
57731	2.002105	0.154180
59318	0.289213	0.157357
61355	0.285842	0.157946
69805	0.285276	0.160361
69836	0.285074	0.160370
73090	3.434850	0.161298
78172	7.214211	0.178754
85149	0.233123	0.229087
87505	0.233172	0.229637
87588	0.233172	0.229656
87933	0.233117	0.229736
91723	0.232957	0.230620
93276	0.232964	0.230982
99186	0.232973	0.232359
99779	0.233085	0.232497
100779	0.232828	0.232730
100825	0.232472	0.232740
100949	0.232487	0.232769
100977	0.232345	0.232776
112535	0.235725	0.235461
115574	0.444953	0.236178
122474	0.692879	0.239248
127159	0.727098	0.242494
127170	0.756869	0.242502
132301	0.756029	0.246385
132649	0.736223	0.246649
132671	0.716940	0.246665
135649	0.702652	0.248800
136305	0.681372	0.249261
136630	0.667223	0.249482
139767	0.667177	0.251575
143973	0.671560	0.254381
150399	1.062210	0.258697
154192	0.862875	0.262726
154457	0.756476	0.262954
159382	0.180272	0.266680
159885	0.050864	0.266771
160887	0.046040	0.266822
161240	0.043718	0.266838
161922	0.043069	0.266868
162039	0.042234	0.266873
164285	0.042879	0.266968
165098	0.044501	0.267003
165453	0.046780	0.267018
165503	0.049115	0.267021
166277	0.049139	0.267059
177063	0.049313	0.267589
177503	0.049455	0.267610
178007	0.049799	0.267635
179403	0.051862	0.267705
180486	0.108161	0.267761
182139	0.108161	0.267940
182253	0.114169	0.267952
182766	0.087912	0.268011
183621	0.050387	0.268086
184476	0.059288	0.268129
184704	0.285013	0.268143
185110	0.304968	0.268258
186998	0.066704	0.268834
188570	0.039808	0.268939
191751	0.039813	0.269065
193108	0.039358	0.269120
193162	0.029893	0.269122
194055	0.029495	0.269148
195405	0.029624	0.269188
195644	0.030342	0.269195
196829	0.029830	0.269231
199462	0.031554	0.269310
204232	0.031554	0.269460
207370	0.123655	0.269559
208998	0.129122	0.269761
209430	0.123607	0.269816
209527	0.115978	0.269828
210306	0.115978	0.269919
210453	0.099217	0.269936
212756	0.098341	0.270164
213151	0.098341	0.270203
213592	0.098151	0.270246
213606	0.097853	0.270248
213827	0.097705	0.270269
214951	0.097768	0.270379
214959	0.097436	0.270380
214991	0.097020	0.270383
215299	0.095871	0.270413
215345	0.095871	0.270417
216958	0.077775	0.270572
217379	0.067384	0.270605
217485	0.058091	0.270612
217866	0.052931	0.270634
218242	0.058975	0.270654
218285	0.069881	0.270657
218366	0.100088	0.270662
218695	0.267723	0.270695
218753	0.369166	0.270711
220071	0.189755	0.271197
220341	0.089765	0.271248
220658	0.033329	0.271277
221102	0.033102	0.271292
221131	0.029630	0.271293
222167	0.029124	0.271323
223185	0.028263	0.271353
223189	0.027296	0.271353
224184	0.027308	0.271380
225051	0.027395	0.271404
225608	0.027222	0.271419
225964	0.044255	0.271429
225985	0.044187	0.271430
226485	0.211686	0.271452
229710	0.211675	0.272135
229853	0.125143	0.272165
229887	0.066766	0.272169
229888	0.066766	0.272169
230739	0.065595	0.272226
232337	0.048129	0.272331
234473	0.048068	0.272434
235928	0.048062	0.272504
237663	0.048058	0.272587
237838	0.048058	0.272595
239289	0.048066	0.272665
241347	0.048046	0.272764
242494	0.048054	0.272819
244125	0.048072	0.272898
247834	0.048115	0.273076
248254	0.048063	0.273096
248279	0.048134	0.273097
249939	0.048300	0.273177
250047	0.048488	0.273182
250058	0.048631	0.273183
250539	0.048812	0.273206
250589	0.049052	0.273209
252038	0.054726	0.273280
252559	0.054672	0.273308
252795	0.054672	0.273321
255552	0.048073	0.273472
258284	0.047860	0.273603
260403	0.047860	0.273705
260504	0.047721	0.273710
261903	0.048502	0.273776
263718	0.048937	0.273864
264012	0.048911	0.273879
264431	0.048915	0.273899
264954	0.048980	0.273925
266848	0.130674	0.274018
267262	0.604781	0.274072
268917	0.330781	0.275073
268992	0.243631	0.275097
269728	0.241896	0.275277
269736	0.241877	0.275279
269980	0.241863	0.275338
271335	0.242041	0.275665
272535	0.543459	0.275956
273216	0.718143	0.276326
274753	0.734592	0.277430
276848	0.514501	0.278969
277076	0.421947	0.279086
277265	0.365381	0.279166
277763	0.296835	0.279348
278796	0.292483	0.279654
279300	0.290931	0.279802
280039	0.291013	0.280017
280235	0.291552	0.280074
280443	0.292243	0.280134
280798	0.295759	0.280238
281423	0.307862	0.280423
282249	1.231722	0.280677
282978	0.851930	0.281575
283309	0.484696	0.281857
284947	0.482601	0.282651
285953	0.501012	0.283137
286176	0.550023	0.283248
286372	0.973977	0.283356
286475	1.627012	0.283456
286679	1.674928	0.283788
286971	1.682364	0.284277
287080	1.684140	0.284461
287252	1.683743	0.284751
287648	1.683754	0.285417
287705	1.680401	0.285513
288689	1.675649	0.287167
289153	1.639159	0.287944
289209	1.639198	0.288036
289210	1.639277	0.288038
293384	4.838295	0.294880
293519	5.476198	0.295533
294021	6.371820	0.298282
294495	6.317482	0.301303
294745	6.284220	0.302882
295046	6.282685	0.304773
295191	6.188855	0.305684
295246	6.030022	0.306025
296341	0.961265	0.312628
297712	0.846765	0.313946
297805	0.591274	0.314024
298553	0.494566	0.314467
298620	0.402081	0.314500
298672	0.382642	0.314521
302224	0.377034	0.315880
303389	0.375384	0.316319
303811	0.374742	0.316477
304139	0.374894	0.316600
304180	0.375161	0.316616
304557	0.375759	0.316757
306450	0.383780	0.317468
307022	0.409018	0.317688
307648	0.458000	0.317944
307769	0.457543	0.317999
312577	2.393768	0.320199
312644	2.640649	0.320360
315138	2.641545	0.326945
316558	11.362024	0.330696
317376	11.385458	0.339991
319176	6.504526	0.360484
319446	4.002400	0.362241
322183	4.073191	0.373195
322522	4.407273	0.374576
327641	4.410518	0.397137
327829	4.721565	0.397966
330655	5.899077	0.411309
331506	8.727262	0.416329
331827	9.167698	0.419131
332469	9.155548	0.425016
332483	9.259445	0.425145
332528	9.332564	0.425561
332961	9.332564	0.429602
333739	9.367916	0.436863
333758	9.367329	0.437041
334742	9.405171	0.446258
334758	9.436924	0.446409
334994	9.451915	0.448636
335099	9.359883	0.449629
335266	9.043594	0.451192
335316	8.602874	0.451644
335363	8.186819	0.452048
337468	8.179593	0.469281
337502	8.176053	0.469559
337543	6.712769	0.469895
337601	5.278452	0.470284
338113	3.665124	0.472987
338132	2.284901	0.473056
338155	1.953766	0.473109
338297	1.448652	0.473386
339337	2.590248	0.474893
339386	3.829509	0.475020
339519	6.097885	0.475529
339594	7.264690	0.475986
339727	6.439006	0.476953
339756	4.106336	0.477139
339994	2.031138	0.478117
340373	1.421867	0.478886
340507	1.041841	0.479077
340963	1.013926	0.479552
340992	0.988331	0.479581
341085	0.974248	0.479673
341466	0.969084	0.480045
342424	2.130212	0.480973
342971	2.142648	0.482138
343238	2.125732	0.482710
343982	1.766518	0.484292
344007	1.500322	0.484336
344459	0.329229	0.485014
345142	0.325653	0.485239
346821	0.642701	0.485786
347808	0.642752	0.486420
348265	1.008524	0.486714
348598	2.787757	0.487050
348694	2.788806	0.487317
348699	2.789726	0.487331
348764	2.790981	0.487513
349426	83.867381	0.489360
349989	83.867381	0.536578
351004	83.867381	0.621703
351114	1.682328	0.630928
351460	1.547486	0.631510
352074	1.536056	0.632461
352577	1.511011	0.633233
353288	1.509916	0.634308
354165	1.516316	0.635632
354264	1.512529	0.635782
354439	1.479854	0.636047
354542	1.414617	0.636199
355410	2.100597	0.637427
355568	2.774887	0.637759
355944	2.864700	0.638802
356095	2.894320	0.639235
356337	2.892120	0.639935
