position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
13043	3.745829	0.000000
41084	3.748065	0.105037
51088	2.578174	0.142532
52467	2.573723	0.146088
53011	2.532886	0.147488
53206	2.487219	0.147982
57026	2.494051	0.157483
58275	2.496189	0.160598
58449	2.500471	0.161032
58980	2.549913	0.162360
59667	3.133810	0.164112
59717	3.335991	0.164269
60225	3.339742	0.165963
60532	3.876824	0.166989
62484	3.897995	0.174556
62526	3.913183	0.174720
62646	3.922002	0.175189
63098	3.923411	0.176962
65351	3.927157	0.185802
73263	3.933709	0.216873
73422	3.924858	0.217499
78232	4.010730	0.236377
78382	4.015536	0.236979
81136	4.028233	0.248038
81461	4.036568	0.249347
81765	4.046454	0.250574
82081	4.046603	0.251853
82969	4.076310	0.255446
83173	4.085623	0.256278
83196	4.092159	0.256372
84782	4.066967	0.262862
86350	4.052090	0.269239
86502	4.051987	0.269855
86633	4.052236	0.270385
86802	4.044898	0.271070
87081	4.028904	0.272199
87542	3.983776	0.274056
87755	3.828211	0.274905
87761	3.637667	0.274928
87769	3.637667	0.274957
88525	3.589815	0.277707
88813	3.367546	0.278741
88828	3.126372	0.278791
88988	2.643474	0.279291
89183	2.378536	0.279807
90429	2.369999	0.282771
95631	2.845407	0.295099
102911	2.567705	0.315814
108420	3.458098	0.329959
108547	3.567541	0.330399
108849	4.353183	0.331476
109300	4.803365	0.333439
109329	5.296695	0.333579
109700	5.521073	0.335544
110025	12.583795	0.337338
110579	28.821913	0.344309
110643	29.788274	0.346154
110908	45.230816	0.354048
111030	45.230816	0.359566
111099	45.230816	0.362687
111223	45.230816	0.368296
111250	45.230816	0.369517
113034	45.230816	0.450209
113093	45.230816	0.452877
113390	32.178667	0.466311
113682	29.778232	0.475707
113794	15.005442	0.479042
113886	11.269892	0.480423
114669	11.281886	0.489247
116026	11.294253	0.504556
120174	11.313303	0.551405
125892	11.313303	0.616094
126701	11.283970	0.625247
128389	3.226863	0.644294
129225	3.213511	0.646992
129457	3.217194	0.647737
130606	3.248590	0.651434
131828	3.392500	0.655404
132560	3.658121	0.657887
132994	7.537407	0.659475
135310	7.553683	0.676931
139045	9.112941	0.705144
139334	9.238354	0.707778
139357	9.331838	0.707990
139937	9.310769	0.713403
141035	9.305770	0.723626
142930	11.298101	0.741261
146428	12.387663	0.780781
149172	12.388300	0.814773
151656	11.954076	0.845546
152286	11.180088	0.853077
152362	10.463641	0.853926
155494	9.249975	0.886699
159851	8.719150	0.927001
163278	8.620460	0.956881
168610	8.618679	1.002845
172537	7.051496	1.036691
172683	4.072247	1.037721
172852	3.800307	1.038409
173906	6.004525	1.042414
174121	6.130234	1.043705
179396	6.717929	1.076042
179777	6.826779	1.078602
182504	8.926486	1.097218
183238	8.926486	1.103770
188593	5.874431	1.151572
193188	5.839373	1.178565
198072	5.788810	1.207084
198273	5.037744	1.208248
198427	5.037744	1.209024
198698	4.592774	1.210389
200559	4.487574	1.218936
200852	4.487574	1.220251
204759	4.607264	1.237784
209814	5.136847	1.261074
210080	5.438226	1.262440
210103	5.736220	1.262565
210420	5.948782	1.264383
212731	5.603546	1.278131
214402	5.066842	1.287495
216763	4.632989	1.299457
217829	4.362399	1.304396
217867	4.321732	1.304562
218145	3.252754	1.305763
218466	2.713685	1.306808
218709	0.981703	1.307467
219586	0.878158	1.308328
220385	0.873628	1.309030
221278	0.872176	1.309810
222684	0.870992	1.311036
222982	0.871544	1.311296
223128	0.872047	1.311423
226749	0.958551	1.314580
228677	0.993307	1.316429
228978	1.074682	1.316728
233410	1.109999	1.321491
237667	1.095690	1.326216
241835	0.895869	1.330783
245185	0.873459	1.333784
245312	0.796770	1.333895
